timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,position
3415695719,-1,4,0,3,-4,1,22,13,1
3415711959,-1,12,-7,1,9,-6,-9,-21,1
3415711959,-8,-38,-4,-7,-6,-50,-25,-14,1
3415713599,15,13,-1,6,1,16,43,28,1
3415713599,-6,-4,-7,4,10,92,-38,-1,1
3415734440,-2,1,7,-2,-8,-13,-6,9,1
3415734440,4,5,3,6,11,83,43,2,1
3415736047,-4,6,1,-7,-8,-66,-33,13,1
3415736047,16,4,0,6,10,83,51,14,1
3415749140,-8,12,0,-6,-15,-67,-21,-4,1
3415749140,-3,-2,-2,-3,1,29,2,-21,1
3415763272,0,-1,5,-2,-13,-42,-25,20,1
3415763272,11,1,-2,7,5,7,41,37,1
3415772154,0,4,2,-3,-3,-45,-12,0,1
3415772154,-10,11,1,-1,-4,1,-19,-14,1
3415773606,-6,-15,-3,-2,-6,-97,10,7,1
3415773606,3,7,3,2,4,68,15,24,1
3415794528,3,-11,-4,0,3,-3,10,1,1
3415794528,2,22,1,-2,-3,-16,-13,7,1
3415796080,-4,-7,-1,-4,0,4,8,-6,1
3415796080,-7,-5,-4,-1,-7,-48,-31,-2,1
3415808860,-6,-10,2,3,7,19,35,10,1
3415808860,10,4,3,-2,-1,58,4,-7,1
3415815704,-1,-1,-5,8,7,51,10,2,1
3415815704,-1,2,2,-6,-4,-78,39,6,1
3415832060,3,7,-1,5,7,38,10,-26,1
3415832060,1,-17,-7,-1,6,51,-6,33,1
3415833651,1,6,5,-6,-6,23,-11,0,1
3415833651,-3,3,-4,4,6,-20,-6,-32,1
3415854485,6,-1,-4,0,-1,15,9,9,1
3415854485,-10,-6,1,3,-2,-24,-35,0,1
3415856058,8,8,-5,3,3,-8,5,7,1
3415856058,-3,3,6,-4,-6,-11,-13,1,1
3415868839,13,1,-3,3,5,-4,47,18,1
3415868839,-5,2,-6,0,-1,-6,-20,-3,1
3415875722,-12,2,-2,-6,-4,-37,26,4,1
3415875722,-2,-5,3,-6,-9,-47,-19,17,1
3415899556,2,5,5,-1,-1,40,-1,11,1
3415899556,-22,-5,-7,-7,-8,-81,14,-31,1
3415901220,8,-12,0,2,2,3,28,10,1
3415901220,5,6,2,-4,-1,20,6,-16,1
3415914464,1,3,0,-1,-7,-12,-33,-3,1
3415914464,4,2,0,2,0,9,21,14,1
3415916121,-16,0,1,-6,-3,30,-39,-54,1
3415916121,5,-5,-4,0,0,11,-12,-9,1
3415928880,-16,-9,-2,-6,-9,-21,-25,4,1
3415928880,9,9,0,2,0,29,-6,2,1
3415935652,-2,-2,-2,3,5,41,-19,-20,1
3415935652,-1,9,-2,-2,-7,-11,5,7,1
3415951717,5,2,-4,5,7,44,-24,-7,1
3415951717,-6,3,0,0,-8,-57,22,-5,1
3415958187,-4,-6,7,-5,1,26,-19,2,1
3415958187,4,4,-5,2,1,-25,12,-12,1
3415974516,-2,-9,-8,0,1,2,-12,17,1
3415974516,-5,-6,2,-4,4,66,-16,-2,1
3415976109,0,10,2,2,-5,-11,23,-5,1
3415976109,10,-4,-2,3,2,15,-8,2,1
3415988749,3,0,0,-1,-4,-50,7,-10,1
3415988749,-1,-26,2,-1,1,6,13,-5,1
3415995642,9,23,0,0,-3,-29,-4,20,1
3415995642,-6,-18,-4,-1,4,33,-8,-3,1
3416011993,-2,11,-3,-7,-9,-64,3,2,1
3416011993,-3,-6,3,-4,-3,-51,-15,-13,1
3416013590,5,-1,-1,5,3,67,7,1,1
3416013590,-13,1,1,-3,-9,-50,2,-1,1
3416034517,5,-5,1,-1,-6,-23,10,4,1
3416034517,14,11,-6,10,12,90,31,0,1
3416036108,9,0,-7,2,2,-43,20,23,1
3416036108,5,-7,2,-4,-7,-18,4,8,1
3416048203,-6,17,3,2,11,31,11,-4,1
3416048203,0,7,-2,3,0,14,-1,5,1
3416056430,-7,-7,1,-7,-12,-56,-52,-21,1
3416056430,-2,7,-5,2,9,74,-6,-4,1
3416071988,-18,-15,3,-6,-7,-21,-26,-8,1
3416071988,7,14,-1,1,-1,-4,-10,6,1
3416072028,-6,-13,-2,-1,5,31,14,-4,1
3416072028,-6,6,-1,-5,-9,-66,-26,-11,1
3416093722,2,-3,-3,8,7,54,54,25,1
3416093722,4,8,2,-3,0,-23,3,-24,1
3416094540,-15,-3,-3,-1,-6,-11,3,9,1
3416094540,-4,-4,-1,2,5,31,8,-2,1
3416116449,-1,-6,-2,1,3,1,-11,-7,1
3416116449,1,-1,1,-2,-4,-51,-2,13,1
3416117747,4,3,-1,-1,3,28,31,-4,1
3416117747,-3,-12,3,0,2,20,-3,-6,1
3416131258,0,7,2,-3,-2,11,-9,-7,1
3416131258,-5,-1,-1,-5,-5,-42,-7,12,1
3416132017,-2,-3,3,0,4,-4,0,-19,1
3416132017,7,-5,-3,0,5,9,-23,15,1
3416153799,11,-3,2,7,2,12,69,1,1
3416153799,-8,-12,-5,-4,-8,-37,14,2,1
3416154632,16,11,-2,5,7,69,5,5,1
3416154632,5,7,-4,2,6,3,22,3,1
3416177040,-9,-16,1,-2,1,-5,-20,-7,1
3416177040,0,-1,-2,-5,-6,-54,-10,-4,1
3416177869,3,5,0,1,-1,15,-8,3,1
3416177869,-5,1,2,-1,-2,9,21,1,1
3416191376,4,-7,1,-6,-5,5,-32,-3,1
3416191376,4,6,-2,5,9,62,16,1,1
3416192104,-9,7,4,-7,-7,-37,-15,1,1
3416192104,-2,-5,-1,2,0,1,-9,-4,1
3416213904,3,11,-3,-1,-1,0,-1,1,1
3416213904,-16,-9,1,-4,-8,-25,-75,-5,1
3416214652,14,-2,3,-2,-2,-7,29,8,1
3416214652,-2,1,2,-2,-2,-9,2,-10,1
3416237079,-6,-5,2,-6,-8,-42,-10,0,1
3416237079,17,8,-3,8,12,92,43,18,1
3416237790,-9,-5,-1,3,7,-22,-32,-22,1
3416237790,5,1,-3,1,-2,14,-28,2,1
3416251226,9,8,2,1,-3,7,22,5,1
3416251226,-5,2,0,1,2,1,14,3,1
3416252103,3,-15,-4,5,1,31,23,4,1
3416252103,-11,-1,1,-3,-4,-12,-17,-6,1
3416273781,-9,-6,0,-7,-5,-36,-29,-2,1
3416273781,7,1,-1,-2,-4,37,8,-15,1
3416274688,6,1,1,-1,-1,-10,5,23,1
3416274688,-12,-5,-4,-3,-2,-21,-13,-6,1
3416296334,-3,-8,1,-5,-7,-20,-22,-3,1
3416296334,-3,-10,3,3,4,-1,1,8,1
3416297141,-6,-10,-3,0,-2,-16,10,-5,1
3416297141,4,12,-2,2,-7,-39,-17,-12,1
3416311221,7,4,-3,5,9,39,36,14,1
3416311221,-1,2,-1,-4,-1,11,-16,-5,1
3416312028,-1,-7,-6,0,-3,-8,9,2,1
3416312028,-12,-14,-1,4,6,40,-9,-14,1
3416333815,1,14,-1,2,1,-8,9,20,1
3416333815,5,-1,4,-5,-7,-27,-9,-10,1
3416334621,-1,4,-7,9,12,46,4,5,1
3416334621,7,-5,1,-1,3,30,16,3,1
3416356316,-16,-22,-2,-2,-5,-11,-86,-36,1
3416356316,4,13,0,3,-2,-21,-1,9,1
3416357073,2,5,0,1,5,-6,11,-38,1
3416357073,13,1,0,0,-4,-26,28,46,1
3416371408,1,2,-6,-1,1,12,38,0,1
3416371408,-17,-13,0,-7,-5,-28,-85,-24,1
3416372175,0,7,2,-4,-9,-2,9,-14,1
3416372175,-1,5,-3,4,11,-5,-3,17,1
3416393830,10,-7,-2,-2,2,28,34,4,1
3416393830,-12,1,-2,-4,-6,-24,-28,13,1
3416394689,4,0,-2,-1,-2,-32,-5,17,1
3416394689,0,17,1,0,2,41,-15,-15,1
3416416355,-14,-19,0,1,-7,-21,29,-1,1
3416416355,10,14,-4,5,11,24,26,-7,1
3416417119,4,-4,-2,-1,-1,-2,13,20,1
3416417119,-4,-1,-2,0,0,-10,20,1,1
